Name,Real name,Aliases,Universe,Alignment,Gender,Affiliations,Relatives,Creators,First appearance,Year
Eternal Warrior,Gilad Anni-Padda,GillyThe Fist and Steel of the EarthThe Fist and Steel of the GeomancersThe Man the Earth Won't Let DieThe Eternal Emperor,Valiant Entertainment,Good,Male,House of the EarthMI-6Unity (modern)Unit YUnity (13th century),Anni \ (mother)Padda \ (name-giver)[1]Aram Anni-Padda (brother) Ivar Anni-Padda (brother)Vexana Anni-Padda (sister)Mitu (estranged son)Xaran (daughter)Janna \ (wife)\u00b7 Kalam \ (first born son)Leena \ (wife)\u00b7 Dayo \ (daughter) \u00b7 Eveleen \ (daughter)\u00b7 Ko \ (son)\u00b7 Sophie \ (daughter)\u00b7 Timeus \ (son)Caroline (future grand-daughter),Jim Shooter (original)Don Perlin (original)Robert Venditti (reboot; cameo)Cary Nord (reboot; cameo)Fred Van Lente (reboot)Clayton Henry (reboot; cameo)Emanuela Lupacchino (reboot),"Original: Solar, Man of the Atom  #10 (June, 1992)Reboot:Unnamed cameo: X-O Manowar (Volume 3) #1 (May, 2012)Named cameo: Archer & Armstrong (Volume 2) #1 (August, 2012)First full appearance: Archer & Armstrong (Volume 2) #5 (December, 2012)",2012
Ether,Unknown,,Valiant Entertainment,Good,Male,Unity,,Matt Kindt,"Unity (Volume 2) #1(November, 2013)",2013
Etienne Huxley,Dr. Etienne Huxley,,Valiant Entertainment,Neutral,Male,,,Tini HowardAmilcar Pinna,"The Forgotten Queen  #1(February, 2019)",2019
Eva Adams,Eva Adams,,Valiant Entertainment,Good,Female,,Abram Adams (Husband)Anya Adams (Daughter),Matt KindtTrevor Hairsine,"Divinity  #1(February, 2015)",2015
Eveleen,Eveleen,,Valiant Entertainment,Good,Female,,Gilad (Father),Robert VendittiRaul AllenPatricia Martin,"Wrath of the Eternal Warrior  #1 (November, 2015)",2015
Evil Robot,Unknown,Do-BotToaster,Valiant Entertainment,Bad,,Unknown,,Jody HouserBarry Kitson,"Faith and the Future Force #1 (July, 2017)",2017
Evoleven,Evoleven,,Valiant Entertainment,Neutral,Male,The Unknown,,Matt KindtTrevor Hairsine,"Eternity  #3 (December, 2017)",2017
Excisor,Excisor,,Valiant Entertainment,Neutral,Male,The Unknown,,Matt KindtTrevor Hairsine,"Eternity  #3 (December, 2017)",2017
Faith,Faith Herbert,FaithSummer Smith (Alter Ego)Zephyr (Supername),Valiant Entertainment,Good,Female,The RenegadesUnity,Marcel Herbert (Grandmother)Obadiah Archer (Boyfriend),Jim Shooter (original)David Lapham (original)Joshua Dysart (reboot)Khari Evans (reboot),"Original: Harbinger  #1 (January, 1992)Reboot: Harbinger (Volume 2) #3 (August, 2012)",2012
Fakir,Fakir,,Valiant Entertainment,Bad,Male,Shadow Seven,,Matt KindtClay Mann,"Ninjak (Volume 3) #4 (June, 2015)",2015
Father,Father,BloodfatherThe Red King,Valiant Entertainment,Bad,Nonbinary,New Japan (formerly)Church Fallen,,Matt KindtClayton CrainDan Abnett (Bloodfather)Juan Jose Ryp (Bloodfather),"Rai (Volume 3) #1(April, 2014)",2014
FEN-L,FEN-L,,Valiant Entertainment,Neutral,,Schon,AN-ISE (parent),Matt KindtTomas Giorello,"X-O Manowar (Volume 4) #23(January, 2019)",2019
Fire Loa,Fire Loa,,Valiant Entertainment,Neutral,,Soul Taker (unwillingly),,Andy DiggleRenato Guedes,"Shadowman (Volume 5) #6(August, 2017)",2017
Fisch,Fisch,,Valiant Entertainment,Bad,Male,,,Matt Kindt,"Ninjak (Volume 3) #11 (January, 2016)",2016
Fisher King,Fisher King,Wounded King,Real WorldValiant Entertainment,Neutral,Male,,,Fred Van Lente,"Archer & Armstrong (Volume 2) #22 July, 2014",2014
Fitzhugh,Fitzhugh,,Valiant Entertainment,Bad,Male,Webnet,,Mark Moretti (Original)Joe Quesada (Original)Matt Kindt (Reboot)Cafu (Reboot),"Original: Ninjak  #1(February, 1994)Reboot: Unity (Volume 2) #5(March, 2014)",2014
Fitzy,Fitz,Fitzy,Valiant Entertainment,Neutral,Male,Shadow Seven,,Matt KindtClay Mann,"Ninjak (Volume 3) #4(June, 2015)",2015
Flaco,Flaco,Positronic Targeting And Analysis Intelligence,Valiant Entertainment,Good,Male,War Mother,,Fred Van LenteTomas Giorello,"4001 A.D.: War Mother #1 (August, 2016)",2016
Flatline,Unknown,,Valiant Entertainment,Good,Female,H.A.R.D. Corps,,Christos GageJoshua DysartEmanuela Lupacchino,"Bloodshot and H.A.R.D. Corps  #16 (November, 2013)",2013
Flo,Flo,,Valiant Entertainment,Neutral,Male,Promised Land,,Barry Windsor-Smith (Original)Fred Van Lente (Reboot)Clayton Henry (Reboot),"Original: Archer & Armstrong  #5 (December, 1992)Reboot: Archer & Armstrong (Volume 2) #1 (August, 2012)",2012
Force Majeure,Unknown,,Valiant Entertainment,Bad,Female,H.A.R.D. CorpsProject Rising Spirit,,Joshua Dysart,"Imperium  #5(June, 2015)",2015
Frank Devlin,Francis Anatol Devlin,Frank Devlin,Valiant Entertainment,Good,Male,,Murial (wife),Rafer RobertsDavid Lafuente,"A&A: The Adventures of Archer & Armstrong  #1 (March, 2016)",2016
Freddie Mercury,Farrokh Bulsara,Freddie Mercury,Real WorldValiant Entertainment,Good,Male,Fameotorium,,Fred Van LentePere Perez,"Archer & Armstrong (Volume 2) #20 (May, 2014)",2014
Friday Dusk,Friday Dusk,,Valiant Entertainment,Bad,Female,Sons of the Last Flesh,,Tim SeeleyBrett Booth,"Bloodshot (Volume 4) #5(January, 2020)",2020
Fusion,Unknown,Fusion,Valiant Entertainment,Bad,Male,New Ur,,Dan AbnettJuan Jose Ryp,"Rai (Volume 4) #8(October, 2020)",2020
G.T. Prescott,Unknown,,Valiant Entertainment,Bad,Male,Project Rising Spirit,,Christos GageJoshua DysartValentine De Landro,"Bloodshot and H.A.R.D. Corps: H.A.R.D. Corps  #0(February, 2014)",2014
Gafti,Gafti,,Valiant Entertainment,Good,Male,Visigoths,Batwin (brother),Bob Layton (original)Mike Leeke (original)Robert Venditti (reboot)Cary Nord (reboot),"Original: X-O Manowar  #9 (October, 1992)Reboot: X-O Manowar (Volume 3) #1 (May, 2012)",2012
Gamete,Gamete the Super-Fetus,Diana Maria Aguilar,Valiant Entertainment,Neutral,Female,Generation Zero,,Joshua DysartFred Van LenteFrancis Portela,"Generation Zero  #2(September, 2016)",2016
Gamma,Unknown,,Valiant Entertainment,Bad,Female,Project Rising Spirit,,Duane SwierczynskiArturo Lozzi,"Bloodshot (Volume 3) #5(November, 2012)",2012
Garrett Dupree,Unknown,,Valiant Entertainment,Neutral,Male,H.A.R.D. CorpsProject Rising Spirit,,Christos GageJoshua Dysart,"Bloodshot and H.A.R.D. Corps: H.A.R.D. Corps  #0(February, 2014)",2014
Lieutenant-Colonel Daube,Gavin Francis Daube,,Valiant Entertainment,Neutral,Male,Project Rising Spirit,,Kevin GreviouxLonnie NadlerZac ThompsonKen Lashley,"Bloodshot Rising Spirit  #1(November, 2018)",2018
General Axil,Axil (full name unknown),,Valiant Entertainment,Bad,Male,The Vine,,Robert VendittiCary Nord,"X-O Manowar (Volume 3) #12(April, 2013)",2013
General Branix,General Branix,,Valiant Entertainment,Bad,Male,The Azure,,Matt KindtTomas Giorello,"X-O Manowar (Volume 4) #1(March, 2017)",2017
General Grayle,Unknown,,Valiant Entertainment,Bad,Male,Black BarUnited States Air Force(formerly)[1],,Tim SeeleyBrett BoothAmilcar Pinna (Char. Designs),"Bloodshot (Volume 4) #1(September, 2019)",2019
General Redacted,Alphonse Redacted,,Valiant Entertainment,Bad,Male,Project Rising SpiritThe Sect,,Fred Van LentePere Perez,"Archer & Armstrong (Volume 2) #10 (June, 2013)",2013
General Stilicho,Flavio Stilicho,General Stilicho,Real World,Bad,Male,Roman Empire,,Robert VendittiCary Nord,"X-O Manowar (Volume 3) #1May, 2012",2012
Genghis Khan,Tem\u00fcjin,Genghis KhanGreat KhanKhagan,Real WorldValiant Comics (Mentioned only)Valiant Entertainment,Neutral,Male,Mongol Empire,,,"The Forgotten Queen  #1(February, 2019)",2019
Genius,Unknown,,Valiant Entertainment,Bad,Male,H.A.R.D. Corps,,Christos GageJoshua DysartEmanuela Lupacchino,"Bloodshot and H.A.R.D. Corps  #16 (November, 2013)",2013
Gia Azevedo,Giovanna Azevedo,,Valiant Entertainment,Neutral,Female,,Gwennie Azevedo (sister)Mary-Maria Archer (sister)Berinaldo Azevedo (father),Karl BollersClayton Henry,"Archer & Armstrong (Volume 2) #24 (September, 2014)",2014
Gilad,Gilad,The Eternal Sophomore,Valiant High,Good,Male,Valiant High,Armstrong (brother),Daniel KibblesmithDerek CharmOriginal:Jim ShooterDon Perlin,"Valiant High #1(February, 2017)",2017
GIN-GR,GIN-GR,,Valiant Entertainment,Good,Female,Formerly Armor HuntersUnityG.A.T.E.,,Robert VendittiDoug Braithwaite,"X-O Manowar (Volume 3) #24(April, 2014)",2014
Gina,Gina,,Valiant Cinematic Universe,Good,Female,Ray Garrison (ex-girlfriend),,Eric HeissererJeff Wadlow,"Bloodshot(March, 2020)",2020
Gloria Vega,Gloria Vega,,Valiant Entertainment,Bad,Female,Brethren,,Justin JordanPatrick Zircher,"Shadowman (Volume 4) #4(February, 2013)",2013
Grace,Grace,,Valiant Entertainment,Good,Female,Lula Lee,,Matt KindtClayton Crain,"Rai (Volume 3) #5(December, 2014)",2014
Grace Lugo,Grace Lugo,,Valiant Entertainment,Neutral,Female,,,Magdalene VisaggioNick Robles,"Doctor Mirage #1(August, 2019)",2019
Graham,Graham (last name unknown),,Valiant Entertainment,Good,Male,Generation Zero,,Duane SwierczynskiManuel Garcia,"Bloodshot (Volume 3) #9(March, 2013)",2013
Gran Ibo,Gran Ibo,,Valiant EntertainmentReal World,Good,Female,,,,"Shadowman (Volume 4) #5(March, 2013)(mentioned)",2013
Granite,Erica Connelly,,Valiant Entertainment,Good,Female,H.A.R.D. Corps,,Christos GageJoshua DysartEmanuela Lupacchino,"Bloodshot and H.A.R.D. Corps  #14 (September, 2013)",2013
Gravedog,Borz Umarov,Gravedog,Valiant Entertainment,Bad,Male,Harbinger FoundationH.A.R.D. CorpsProject Rising Spirit,,Joshua DysartDoug Braithwaite,"Imperium  #2 (March, 2015)",2015
Sergeant Greekanov,Greekanov,Greek,Valiant Entertainment,Bad,Female,H.A.R.D. Corps,,Matt KindtTomas Giorello,"Harbinger Wars 2  #1(May, 2018)",2018
Green Knight,Bertilak de Hautdesert,Green KnightLord Bertilak,Real WorldValiant Entertainment,Bad,Male,,Lady Bertilak (wife),Fred Van LenteCary Nord,"Immortal Brothers: The Tale of the Green Knight #1 (April, 2017)",2017
Gregoire Rosso,Gregoire Rosso,,Valiant Entertainment,Bad,Male,Brethren,,Justin JordanPatrick Zircher,"Shadowman (Volume 4) #4(February, 2013)",2013
Griffon,Unknown,,Valiant Entertainment,Bad,Female,Harbinger Foundation,,Joshua DysartTrevor Hairsine,"Harbinger (Volume 2) #11(April, 2013)",2013
Grigori Rasputin,Grigori Yefimovich Rasputin,,Real WorldValiant Entertainment,Neutral (Real world)Bad (Valiant Entertainment),Male,Sandria Darque,,Matt KindtJuan Jose Ryp,"Divinity III: Shadowman & The Battle of New Stalingrad #1(February, 2017)",2017
Grimm-1,Unknown,,Valiant Entertainment,Neutral,,Future-Light,,Matt KindtTrevor Hairsine,"Eternity  #1 (October, 2017)",2017
Grissom,Grissom,Number Three,Valiant Entertainment,Good,Male,ArmorinesU.S. Military,,Robert VendittiRobert Gill,"X-O Manowar (Volume 3) #43(January, 2016)",2016
Gualterio,Gualterio,,Valiant Entertainment,Bad,Male,Deathless WarriorsThe Sect,,John LaymanRamon Villalobos,"Archer & Armstrong (Volume 2) #25 (October, 2014)",2014
Gub Gub,Gub Gub,,Valiant Entertainment,Neutral,Male,,,Rafer RobertsMike Norton,"A&A: The Adventures of Archer & Armstrong #7 (September, 2016)",2016
Guinevere,Lady Guinevere,GuenevereGwenevere,Real WorldValiant Entertainment,Neutral,Female,Camelot,King Arthur (husband),Fred Van LenteCary Nord,"Immortal Brothers: The Tale of the Green Knight #1 (April, 2017)",2017
Gunner,Unknown,,Valiant Entertainment,Bad,Male,The ChainsawProject Rising Spirit,,Len Kaminski (original)Sal Velluto (original)Duane Swierczynski (reboot)Manuel Garcia (reboot),"Original: Bloodshot (Volume 2) #2 (August, 1997)Reboot: Bloodshot (Volume 3) #5 (November, 2012)",2012
Gunny Lewis,Harold Lewis,Gunny Lewis,Valiant Entertainment,Good,Male,ArmorinesU.S. Military,,Jorge Gonzalez (original)Jim Calafiore (original)Robert Venditti (reboot)Diego Bernard (reboot),"Original: Armorines  #0 (February, 1994)Reboot: X-O Manowar (Volume 3) #32 (January, 2015)",2015
Gwen Goodman,Gwen Goodman,,Valiant Entertainment,Neutral,Female,,,Vita AyalaTana Ford,"Livewire  #9(August, 2019)",2019
Gwennie Azevedo,Gwennica Azevedo,,Valiant Entertainment,Neutral,Female,,Gia Azevedo (sister)Mary-Maria Archer (sister)Berinaldo Azevedo (father),Karl BollersClayton Henry,"Archer & Armstrong (Volume 2) #24 (September, 2014)",2014
Hadley Scott,Hadley Scott,Unit 517,Valiant Entertainment,Good,Female,Vine Plantings,,Jody Houser,"Faith #1 (January, 2016)",2016
Hammerhead,Marion Virgil Peeves,Captain Marion Virgil Peeves,Valiant Entertainment,Bad,Male,H.A.R.D. Corps,,Duane SwierczynskiJoshua Dysart,"Harbinger Wars  #3(June, 2013)",2013
Hanley Nealon,Hanley Nealon,,Valiant Entertainment,Bad,Male,Project Bizarre,Mae Nealon (ward),Max BemisNathan Stockman,"Savage (Volume 2) #1(February, 2021)",2021
Hawk Man,Unknown,Sergeant,Valiant Entertainment,Neutral,Male,Divine Army,,Matt KindtTrevor Hairsine,"Divinity  #1 (February, 2015)",2015
Haz-Matt,Unknown,,Valiant Entertainment,Bad,Male,E.R.A.,,James AsmusTom Fowler,"Quantum and Woody (Volume 2) #3 (September, 2013)",2013
Hazard,Eva Ramirez,Hazard,Valiant Entertainment,Good,Female,NASAG.A.T.E.Psi-Lords,,Fred Van LenteRenato GuedesJonathan Arthur Ashley,"Psi-Lords (Volume 2) #1(June, 2019)",2019
Headspace,Clem (Last name unknown),,Valiant Entertainment,Good,Male,Generation Zero,,Duane SwierczynskiMatthew Clark,"Bloodshot (Volume 3) #7(January, 2013)",2013
Helena LeBreton (Valiant Entertainment),Helena LeBreton,,Valiant Entertainment,Good,Female,,Josiah Boniface (husband)Jack Boniface (son),Bob Layton (original)Justin Jordan (reboot)Patrick Zircher (reboot),"Shadowman (Volume 4) #1 (November, 2012)",2012
Helix,Helix,,Valiant Entertainment,Bad,Female,Armor Hunters,,Robert VendittiDoug Braithwaite,"X-O Manowar (Volume 3) #24(April, 2014)",2014
Henrik Skinner,Henrik Skinner,,Valiant Entertainment,Bad,Male,,Donald Slocum (Husband),,"Quantum and Woody Must Die! #1 (January, 2015)",2015
Henry Sauvage,Henry Sauvage,,Valiant Entertainment,Neutral,Male,,Kevin Sauvage \ (father)Veronica Sauvage \ (mother)Kevin Sauvage Jr. (brother)One more unnamed sibling,Max BemisNathan Stockman,"Savage (Volume 2) #1(February, 2021)",2021
Hesnid,Hednis,,Valiant Entertainment,Bad,Male,The Processors,,Matt KindtKenneth Rocafort,"X-O Manowar (Volume 4) #10(December, 2017)",2017
Hidden Moon,Hidden Moon,,Valiant Entertainment,Bad,Male,Harbinger Foundation,,Joshua DysartKhari Evans,"Harbinger (Volume 2) #3(August, 2012)",2012
Hillary Clinton,Hillary Diane Rodham Clinton,,Real World,Neutral,Female,U.S. Government,Bill Clinton (Husband),Jody Houser,"Faith (Volume 2) #5 (November, 2016)",2016
Hive,Pier (Last name unknown),,Valiant Entertainment,Good,Male,Generation Zero,,Joshua DysartDuane Swierczynski,"Harbinger Wars  #1(April, 2013)",2013
Houngan Josef,Josef (last name unknown),,Valiant Entertainment,Good,Male,,,Cullen BunnAdam Gorham,"Punk Mambo (Volume 2) #2 (May, 2019)",2019
Howl,Unknown,,Valiant Entertainment,Good,Female,Generation Zero,,Duane SwierczynskiJoshua Dysart,"Harbinger Wars  #1 (April, 2013)",2013
Humble Bumble,Humble Bumble,,Valiant Entertainment,Neutral,Male,,,Joshua DysartClayton Henry,"Harbinger (Volume 2) #17(October, 2013)",2013
Humongous,Humongous,,Valiant Entertainment,Bad,Male,,,Robert VendittiRaul AllenPatricia Martin,"Wrath of the Eternal Warrior  #2 (December, 2015)",2015
Hunter,Unknown,,Valiant Entertainment,Bad,Male,Harbinger Foundation,,Joshua DysartTrevor Hairsine,"Harbinger (Volume 2) #11(April, 2013)",2013
Hutch,Unknown,,Valiant Entertainment,Bad,Male,Project Rising Spirit,,Duane SwierczynskiArturo Lozzi,"Bloodshot (Volume 3) #1(July, 2012)",2012
Huxley,Huxley,,Valiant Entertainment,Bad,Male,,,Joshua DysartKhari Evans,"Harbinger (Volume 2) #7(December, 2012)",2012
I-O,I-O,,Valiant Entertainment,Neutral,Male,Simulacrum,,Matt KindtTrevor Hairsine,"Eternity  #2(November, 2017)",2017
Iggy,Unknown,,Valiant Entertainment,Good,Male,,Ana (Mother)Ignacio (Father)Max (Foster brother),Fred Van LenteTomas Giorello,"4001 A.D.: War Mother #1 (August, 2016)",2016
Ignacio,Unknown,,Valiant Entertainment,Good,Male,,Ana (Wife)Iggy (Son)Max (Adopted son),Fred Van LenteTomas Giorello,"4001 A.D.: War Mother #1 (August, 2016)",2016
The Immortal Enemy,Unknown,GrendelMister FlaySceadugenga,Valiant Entertainment,Bad,Male,,,Kevin VanHook (original)Yvel Guichet (original)Jeff Lemire (reboot)Matt Kindt (reboot)Paolo Rivera (reboot),"Original: Eternal Warrior  #4 (November, 1992)Reboot: The Valiant  #1 (December, 2014)",2014
Imperatrix Virago,Imperatrix Virago,Mother of Blight,Valiant Entertainment,Bad,Female,,,Andy DiggleAlex PaknadelDoug Braithwaite,"Incursion #1(February, 2019)",2019
Inanna,Unknown,,Valiant Entertainment,Bad,Female,Black Bar,,Tim SeeleyBrett Booth,"Bloodshot (Volume 4) #5(January, 2020)",2020
Infomercial,Infomercial (G.A.T.E. codename),The Man Without A FaceThe Screaming ManInfomercial Man,Valiant Entertainment,Bad,Male,,,Eliot RahalJoe Eisma,"Quantum and Woody (Volume 3) #8 (July, 2018)",2018
Inga,Inga,,Valiant Entertainment,Good,Female,Visigoths,Aric (son)Rolf (husband),Bob Layton (original)Jorge Gonzalez (original)Joe Quesada (original)Robert Venditti (reboot)Lee Garbett (reboot),"Original: X-O Manowar  #0 (August, 1993)Reboot: X-O Manowar (Volume 3) #17 (September, 2013)",2013
Ingrid Hillcraft,Ingrid Hillcraft,,Valiant Entertainment,Bad,Female,Harbinger Foundation,,Joshua DysartKhari Evans,"Harbinger (Volume 2) #3(August, 2012)",2012
Inner Sea,Inner Sea,,Valiant Entertainment,Bad,Male,Harbinger Foundation,,Joshua DysartRafa Sandoval,"Harbinger: Omegas  #1(July, 2014)",2014
Inola Black,Inola Black,,Valiant Entertainment,Neutral,Female,Psiot Security and Education Program (PSEP),,Vita AyalaKano,"Livewire  #5(April, 2019)",2019
Ion,Daniel Hessler,,Valiant Entertainment,Bad,Male,Harbinger FoundationEggbreakers,,Joshua DysartKhari Evans,"Harbinger (Volume 2) #3(August, 2012)",2012
Ironside,Ironside,,Valiant Entertainment,Good,Male,The Burnt,,Matt KindtTomas Giorello,"X-O Manowar (Volume 4) #1(March, 2017)",2017
Isiah,Isiah,Ol' Isiah,Valiant Entertainment,Neutral,Male,,,Andy DiggleStephen Segovia,"Shadowman (Volume 5) #1(March, 2018)",2018
Isis,Isis,,Real WorldValiant Entertainment,Neutral,Female,,Osiris \ (husband),,"Doctor Mirage #5(December, 2019)",2019
Ivan the Talking Bear,Ivan (Last name unknown),The Talking Bear,Valiant Entertainment,Bad,Male,Nauka Traveling Circus,,Rafer RobertsMike Norton,"A&A: The Adventures of Archer & Armstrong #6 (August, 2016)",2016
"Ivar, Timewalker",Ivar Anni-Padda,TimewalkerForever Walker,Valiant Entertainment,Good,Male,,Anni (mother)Padda (name-giver)[1]Aram Anni-Padda (brother)Gilad Anni-Padda (brother)Vexana Anni-Padda (sister),Barry Windsor-Smith (original)Fred Van Lente (reboot)Clayton Henry (reboot),"Original: Archer & Armstrong  #8 (March, 1993)Reboot: Archer & Armstrong (Volume 2) #1 (August, 2012)",2012
Izak,Izak,,Valiant Entertainment,Neutral,Male,,,Jim Shooter (original)Ernie Colon (original)Matt Kindt (reboot)Clayton Crain (reboot),"Original: Magnus, Robot Fighter  #14 (July, 1992)Reboot: Rai (Volume 3) #5 (December, 2014)",2014
Jack Rapid,Unknown,Jack Rapid,Valiant Entertainment,Neutral,Male,Stormbreakers,,Mark Waid (Original)Brian Augustyn (Original)Alejandro Arbona (Reboot)Jim Towe (Reboot),"Doctor Tomorrow (Volume 2) #1(February, 2020)",2020
Jae Kwan,Jae Kwan,,Valiant Entertainment,Neutral,Male,Psiot Security and Education Program (PSEP),,Vita AyalaKano,"Livewire  #5(April, 2019)",2019
Jake Torkelson,Jake Torkelson,Bubba,Valiant Entertainment,Neutral,Male,,John Torkelson (brother),Joshua DysartLee Garbett,"Harbinger (Volume 2) #8(January, 2013)",2013
Jamar,Jamar (last name unknown),,Valiant Entertainment,Bad,Male,The Black BlocThe Sect,,Fred Van LenteKhari Evans,"Archer & Armstrong (Volume 2) #14 (October, 2013)",2013
James Earl Williams,James Earl Williams,Number Two,Valiant Entertainment,Good,Male,ArmorinesU.S. Military,,Jorge Gonzalez (original)Jim Calafiore (original)Robert Venditti (reboot)Robert Gill (reboot),"Original: Armorines  #0 (February, 1994)Reboot: X-O Manowar (Volume 3) #43 (January, 2016)",2016
James Zygos,James Zygos,,Valiant Entertainment,Good,Male,Generation Zero,Katherine Zygos (twin sister),Duane SwierczynskiJoshua Dysart,"Harbinger Wars  #1(April, 2013)",2013
Colonel Capshaw,Jamie Capshaw,Colonel Capshaw,Ninjak Vs. The Valiant Universe,Neutral,Female,United States MilitaryUnity,,Original:Robert VendittiLee Garbett,"Comic-Adaption:Ninjak Vs. The Valiant Universe  #1 (January, 2018)Web-Series:Ninjak Vs. The Valiant Universe Episode 1 (April, 2018)",2018
Brigadier General Capshaw,Jamie Capshaw,Colonel Capshaw,Valiant Entertainment,Good,Female,G.A.T.E.U.S. MilitaryM.E.R.O. (formerly),,Robert VendittiLee Garbett,"X-O Manowar (Volume 3) #15(July, 2013)",2013
Janis Joplin,Janis Lyn Joplin,Janis Joplin,Real WorldValiant Entertainment,Good,Female,Fameotorium,,Fred Van LentePere Perez,"Archer & Armstrong (Volume 2) #20 (May, 2014)",2014
The Janitor,Unknown,That Spooky JanitorThat Creepy JanitorThe Shadowman,Valiant High,Neutral,Male,Valiant High,,Daniel KibblesmithDerek Charm,"Valiant High #1(February, 2017)",2017
Jason Poole,Jason Poole,Emergency Manager,Valiant Entertainment,Bad,Male,,Adele Poole (Daughter),Fred Van LenteFrancis Portela,"Generation Zero  #1(August, 2016)",2016
Jaunty,Jaunty,,Valiant Entertainment,Neutral,Male,Beast Brigade,,Garth Ennis (original)Ashley Wood (original)Justin Jordan (reboot)Patrick Zircher (reboot),"Original: Shadowman (Volume 2) #1 (March, 1997)Reboot: Shadowman (Volume 4) #3 (January, 2013)",2013
Jay,Jay Spencer,,Valiant Entertainment,Good,Male,Zipline,Klara (Girlfriend),Jody Houser,"Faith #1 (January, 2016)",2016
Jay Tucker,Jay Tucker,,Valiant Entertainment,Good,Male,Harbinger Renegades,Dennis Tucker (Father),Rafer Roberts,"Harbinger Renegade #1(November, 2016)",2016
Jeff Hanneman,Jeffrey John Hanneman,Jeff Hanneman,Real WorldValiant Entertainment,Good,Male,Fameotorium,,Fred Van LentePere Perez,"Archer & Armstrong (Volume 2) #20 (May, 2014)",2014
Jeffrey McCoy,Jeffrey McCoy,,Valiant Entertainment,Bad,Male,,,Vita AyalaTana Ford,"Livewire  #9(August, 2019)",2019
Jessie,Jessie Garrison,Baby Bloodshot,Valiant Entertainment,Good,Female,,Magic (mother)Ray Garrison/Bloodshot (father)Bloodhound (dog),Jeff LemireJuan Jose Ryp,"Valiant 2017 FCBD Special: X-O Manowar #1 (May, 2017)",2017
Jhukka,Jhukka of Dacia,X-O Manowar,Valiant Entertainment,Good,Female,New DaciaVisigoths,Aric of Dacia (Father) Saana (Mother),Robert VendittiClayton Henry,"Book of Death: The Fall of X-O Manowar #1 (October, 2015)",2015
Jhukka the Vine,Jhukka,,Valiant Entertainment,Neutral,Female,The VineVine High Priest,Raago (Husband)Chutto (Son),Robert VendittiRafa Sandoval,"X-O Manowar (Volume 3) #35(April, 2015)",2015
Jia Storm,Jia Storm,Meatstorm,Valiant Entertainment,Bad,Female,Mondostano Corporation,,James AsmusFred Van LenteKano,"The Delinquents  #1(August, 2014)",2014
Jillian Alcott,Jillian Alcott,,Ninjak Vs. The Valiant Universe,Neutral,Female,,Neville Alcott (father)Susan Alcott (mother),Original:Jim ShooterJohn Dixon,"Comic-Adaption:Ninjak Vs. The Valiant Universe  #1 (January, 2018)Web-Series:Ninjak Vs. The Valiant Universe Episode 1 (April, 2018)",2018
Jim Morrison,James Douglas Morrison,Jim MorrisonThe FounderThe Lizard KingMr. Mojo Risin',Real WorldValiant Entertainment,Good (Real world)Bad (VEI),Male,FameotoriumChurch of RetrologyThe Sect,,Fred Van LentePere Perez,"Archer & Armstrong (Volume 2) #20 (May, 2014)",2014
Jimmy Dalton,Jimmy Dalton,,Valiant Cinematic Universe,Bad,Male,U.S. Navy (formerly)Rising Spirit Technologies,,Eric HeissererJeff Wadlow,"Bloodshot(March, 2020)",2020
Joe Irons,Joseph Irons,,Valiant Entertainment,Good,Male,,,David Lapham (original)Joshua Dysart (reboot)Khari Evans (reboot),"Original: Harbinger  #0 (February, 1993)Reboot: Harbinger (Volume 2) #1 (June, 2012)",2012
Senator John Wright,John Wright,,Valiant Entertainment,Neutral,Male,,Joanna Wright (daughter),Vita AyalaTana Ford,"Livewire  #9(August, 2019)",2019
Johnny 1,Unknown,,Valiant Entertainment,Bad,Male,E.R.A.,Johnny 2 (brother),James AsmusTom Fowler,"Quantum and Woody (Volume 2) #2 (August, 2013)",2013
Johnny 2,Unknown,,Valiant Entertainment,Bad,Male,E.R.A.,Johnny 1 (brother),James AsmusTom Fowler,"Quantum and Woody (Volume 2) #2 (August, 2013)",2013
Jonathan,,QuantumQ2The Gardener,Acclaim Comics,Good,Male,New Quantum and Woody,,Christopher PriestM.D. Bright,"Q2: The Return of Quantum and Woody  #1(October, 2014)",2014
The Jonin,Unknown,Jonin,Valiant Entertainment,Bad,Male,MI-6Coalition,Shuriken (daughter),Matt KindtChristos Gage,"Ninjak (Volume 3) #1(March, 2015)",2015
Reverend Archer,Joseph Archer,,Valiant Entertainment,Bad,Male,The SectThe Dominion,Thelma Archer (wife)Obadiah Archer (adopted son),Jim Shooter (original)Bob Layton (original)Barry Windsor-Smith (original)Fred Van Lente (reboot)Clayton Henry (reboot),"Original: Archer & Armstrong  #0 (February, 1992)Reboot: Archer & Armstrong (Volume 2) #1 (August, 2012)",2012
Shadowman,Josiah Boniface,Shadowman,Valiant Entertainment,Good,Male,,Maxim Boniface (grandfather)Helena LeBreton (wife)Jack Boniface (son),Justin JordanPatrick Zircher,"Shadowman (Volume 4) #1 (November, 2012)",2012
Julius Caesar,Gaius Julius Caesar,,Real WorldValiant Entertainment,Neutral,Male,Roman Empire,,Fred Van Lente,"Archer & Armstrong (Volume 2) #22 July, 2014",2014
Julliet,Julliet,,Valiant Entertainment,Bad,Female,The Processors,,Matt KindtKenneth Rocafort,"X-O Manowar (Volume 4) #13(March, 2018)",2018
